Hakem ID,İsim,Uzmanlık Alanları,Geçmiş Proje Başlıkları,cleaned_expertise,cleaned_past_projects,bert_input
87,Dr. Öğr. Üyesi Burak Kaya,"Sanal Gerçeklik, Artırılmış Gerçeklik, İnsan-Bilgisayar Etkileşimi","Cerrahi Simülasyon, Tıp Eğitimi Platformları, İnteraktif Öğrenme Sistemleri",sanal gerçeklik artırılmış gerçeklik i nsan bilgisayar etkileşimi,cerrahi simülasyon tıp eğitimi platformları i nteraktif öğrenme sistemleri,sanal gerçeklik artırılmış gerçeklik i nsan bilgisayar etkileşimi cerrahi simülasyon tıp eğitimi platformları i nteraktif öğrenme sistemleri
88,Prof. Dr. Aylin Demir,"Algoritma Tasarımı, Hesaplamalı Bilim, Optimizasyon","Klinik Karar Algoritmaları, Hesaplamalı Modelleme, Sistem Optimizasyonu",algoritma tasarımı hesaplamalı bilim optimizasyon,klinik karar algoritmaları hesaplamalı modelleme sistem optimizasyonu,algoritma tasarımı hesaplamalı bilim optimizasyon klinik karar algoritmaları hesaplamalı modelleme sistem optimizasyonu
89,Doç. Dr. Serkan Yücel,"Mobil Uygulama Geliştirme, Yazılım Mimarisi, UX Tasarımı","Hasta Takip Uygulamaları, Sağlık Mobil Platformları, Kullanıcı Deneyimi Tasarımı",mobil uygulama geliştirme yazılım mimarisi ux tasarımı,hasta takip uygulamaları sağlık mobil platformları kullanıcı deneyimi tasarımı,mobil uygulama geliştirme yazılım mimarisi ux tasarımı hasta takip uygulamaları sağlık mobil platformları kullanıcı deneyimi tasarımı
90,Prof. Dr. Melis Arslan,"Quantum Computing, Yüksek Başarımlı Hesaplama, Paralel Algoritmalar","Quantum Algoritma Geliştirme, Yüksek Performanslı Veri Analizi, Paralel Hesaplama Sistemleri",quantum computing yüksek başarımlı hesaplama paralel algoritmalar,quantum algoritma geliştirme yüksek performanslı veri analizi paralel hesaplama sistemleri,quantum computing yüksek başarımlı hesaplama paralel algoritmalar quantum algoritma geliştirme yüksek performanslı veri analizi paralel hesaplama sistemleri
91,Dr. Öğr. Üyesi Emre Kara,"Web Teknolojileri, Mikroservisler, API Tasarımı","Sağlık API Geliştirme, Web Tabanlı Sistemler, Servis Mimarisi Tasarımı",web teknolojileri mikroservisler api tasarımı,sağlık api geliştirme web tabanlı sistemler servis mimarisi tasarımı,web teknolojileri mikroservisler api tasarımı sağlık api geliştirme web tabanlı sistemler servis mimarisi tasarımı
92,Prof. Dr. Seda Öztürk,"Ağ Sistemleri, Telekomunikasyon, Kablosuz İletişim","Tıbbi Veri İletişim Ağları, Kablosuz Sensör Ağları, Hastane Ağ Altyapısı",ağ sistemleri telekomunikasyon kablosuz i letişim,tıbbi veri i letişim ağları kablosuz sensör ağları hastane ağ altyapısı,ağ sistemleri telekomunikasyon kablosuz i letişim tıbbi veri i letişim ağları kablosuz sensör ağları hastane ağ altyapısı
93,Doç. Dr. Mert Yıldız,"Yazılım Kalite Güvence, Test Otomasyonu, DevOps","Medikal Yazılım Validasyonu, Test Süreçleri Otomasyonu, Sürekli Entegrasyon Sistemleri",yazılım kalite güvence test otomasyonu devops,medikal yazılım validasyonu test süreçleri otomasyonu sürekli entegrasyon sistemleri,yazılım kalite güvence test otomasyonu devops medikal yazılım validasyonu test süreçleri otomasyonu sürekli entegrasyon sistemleri
94,Prof. Dr. Canan Aydın,"Bilgi Güvenliği, Risk Yönetimi, Uyumluluk","Sağlık Verisi Güvenlik Standartları, Risk Değerlendirme Metodolojileri, Uyumluluk Denetimi",bilgi güvenliği risk yönetimi uyumluluk,sağlık verisi güvenlik standartları risk değerlendirme metodolojileri uyumluluk denetimi,bilgi güvenliği risk yönetimi uyumluluk sağlık verisi güvenlik standartları risk değerlendirme metodolojileri uyumluluk denetimi
95,Dr. Öğr. Üyesi Okan Demir,"Sistem Mimarisi, Mikroişlemciler, Donanım Tasarımı","Medikal Cihaz Donanımı, Gömülü Sistem Tasarımı, Donanım Optimizasyonu",sistem mimarisi mikroişlemciler donanım tasarımı,medikal cihaz donanımı gömülü sistem tasarımı donanım optimizasyonu,sistem mimarisi mikroişlemciler donanım tasarımı medikal cihaz donanımı gömülü sistem tasarımı donanım optimizasyonu
96,Prof. Dr. Zehra Yılmaz,"Proje Yönetimi, Süreç İyileştirme, Kalite Yönetimi","Sağlık BT Projeleri Yönetimi, Süreç Optimizasyonu, Kalite Sistemleri Geliştirme",proje yönetimi süreç i yileştirme kalite yönetimi,sağlık bt projeleri yönetimi süreç optimizasyonu kalite sistemleri geliştirme,proje yönetimi süreç i yileştirme kalite yönetimi sağlık bt projeleri yönetimi süreç optimizasyonu kalite sistemleri geliştirme
97,Doç. Dr. Ali Öz,"3D Modelleme, CAD/CAM Sistemleri, Simülasyon","Medikal Cihaz Tasarımı, 3D Baskı Uygulamaları, Simülasyon Sistemleri",d modelleme cad cam sistemleri simülasyon,medikal cihaz tasarımı d baskı uygulamaları simülasyon sistemleri,d modelleme cad cam sistemleri simülasyon medikal cihaz tasarımı d baskı uygulamaları simülasyon sistemleri
98,Prof. Dr. Nur Kaya,"İş Zekası, Veri Analitiği, Karar Destek Sistemleri","Sağlık Analitiği Platformları, Performans İzleme Sistemleri, Veri Görselleştirme",i ş zekası veri analitiği karar destek sistemleri,sağlık analitiği platformları performans i zleme sistemleri veri görselleştirme,i ş zekası veri analitiği karar destek sistemleri sağlık analitiği platformları performans i zleme sistemleri veri görselleştirme
99,Dr. Öğr. Üyesi Berk Arslan,"Blockchain, Dağıtık Sistemler, Smart Contracts","Sağlık Verisi Blockchain Uygulamaları, Akıllı Sözleşme Sistemleri, Dağıtık Veri Yönetimi",blockchain dağıtık sistemler smart contracts,sağlık verisi blockchain uygulamaları akıllı sözleşme sistemleri dağıtık veri yönetimi,blockchain dağıtık sistemler smart contracts sağlık verisi blockchain uygulamaları akıllı sözleşme sistemleri dağıtık veri yönetimi
100,Prof. Dr. Ayşe Öztürk,"Dijital Dönüşüm, İnovasyon Yönetimi, Teknoloji Stratejisi","Sağlık Teknolojileri Stratejisi, Dijital Hastane Dönüşümü, İnovasyon Ekosistemi Geliştirme",dijital dönüşüm i novasyon yönetimi teknoloji stratejisi,sağlık teknolojileri stratejisi dijital hastane dönüşümü i novasyon ekosistemi geliştirme,dijital dönüşüm i novasyon yönetimi teknoloji stratejisi sağlık teknolojileri stratejisi dijital hastane dönüşümü i novasyon ekosistemi geliştirme
101,Prof. Dr. Aylin Güneş,"Enerji Sistemleri, Yenilenebilir Enerji, Sürdürülebilir Teknolojiler","Fotovoltaik Hücrelerde Verimlilik Artışı, Rüzgar Türbinlerinin Optimizasyonu, Enerji Depolama Teknolojileri",enerji sistemleri yenilenebilir enerji sürdürülebilir teknolojiler,fotovoltaik hücrelerde verimlilik artışı rüzgar türbinlerinin optimizasyonu enerji depolama teknolojileri,enerji sistemleri yenilenebilir enerji sürdürülebilir teknolojiler fotovoltaik hücrelerde verimlilik artışı rüzgar türbinlerinin optimizasyonu enerji depolama teknolojileri
102,Doç. Dr. Kemal Arslan,"Makine Mühendisliği, Termodinamik, Akışkanlar Mekaniği","Isı Transferi Analizleri, Nanoakışkanların Termal Özellikleri, Endüstriyel Soğutma Sistemleri",makine mühendisliği termodinamik akışkanlar mekaniği,isı transferi analizleri nanoakışkanların termal özellikleri endüstriyel soğutma sistemleri,makine mühendisliği termodinamik akışkanlar mekaniği isı transferi analizleri nanoakışkanların termal özellikleri endüstriyel soğutma sistemleri
103,Dr. Sinem Koç,"Mikrobiyoloji, Biyoteknoloji, Enfeksiyon Hastalıkları","Antibiyotik Direnci Mekanizmaları, Probiyotiklerin İnsan Sağlığına Etkileri, Biyoteknolojik Aşı Geliştirme",mikrobiyoloji biyoteknoloji enfeksiyon hastalıkları,antibiyotik direnci mekanizmaları probiyotiklerin i nsan sağlığına etkileri biyoteknolojik aşı geliştirme,mikrobiyoloji biyoteknoloji enfeksiyon hastalıkları antibiyotik direnci mekanizmaları probiyotiklerin i nsan sağlığına etkileri biyoteknolojik aşı geliştirme
104,Prof. Dr. Erhan Yılmaz,"Bilgisayar Bilimi, Yapay Zeka, Görüntü İşleme","Derin Öğrenme ile Nesne Tanıma, Büyük Veri Analitiği, Otonom Sistemler için Algoritma Geliştirme",bilgisayar bilimi yapay zeka görüntü i şleme,derin öğrenme nesne tanıma büyük veri analitiği otonom sistemler algoritma geliştirme,bilgisayar bilimi yapay zeka görüntü i şleme derin öğrenme nesne tanıma büyük veri analitiği otonom sistemler algoritma geliştirme
105,Doç. Dr. Elif Kaya,"Psikoloji, Bilişsel Bilim, Nöropsikoloji","Travma Sonrası Stres Bozukluğunun Tedavisi, İnsan-Makine Etkileşimi, Bellek ve Dikkat Çalışmaları",psikoloji bilişsel bilim nöropsikoloji,travma sonrası stres bozukluğunun tedavisi i nsan makine etkileşimi bellek dikkat çalışmaları,psikoloji bilişsel bilim nöropsikoloji travma sonrası stres bozukluğunun tedavisi i nsan makine etkileşimi bellek dikkat çalışmaları
106,Prof. Dr. Selim Aydın,"Kimya Mühendisliği, Polimer Bilimi, Malzeme Mühendisliği","Nanokompozit Malzemelerin Tasarımı, Polimerlerin Geri Dönüşümü, Endüstriyel Katalizörler",kimya mühendisliği polimer bilimi malzeme mühendisliği,nanokompozit malzemelerin tasarımı polimerlerin geri dönüşümü endüstriyel katalizörler,kimya mühendisliği polimer bilimi malzeme mühendisliği nanokompozit malzemelerin tasarımı polimerlerin geri dönüşümü endüstriyel katalizörler
107,Dr. Zeynep Tuncer,"Çevre Bilimi, İklim Değişikliği, Su Yönetimi","Atık Su Arıtma Teknolojileri, İklim Değişikliğine Dayanıklı Tarım Uygulamaları, Karbon Ayak İzi Azaltma Yöntemleri",çevre bilimi i klim değişikliği su yönetimi,atık su arıtma teknolojileri i klim değişikliğine dayanıklı tarım uygulamaları karbon ayak i zi azaltma yöntemleri,çevre bilimi i klim değişikliği su yönetimi atık su arıtma teknolojileri i klim değişikliğine dayanıklı tarım uygulamaları karbon ayak i zi azaltma yöntemleri
108,Doç. Dr. Mehmet Öztürk,"Elektrik-Elektronik Mühendisliği, Güç Sistemleri, Akıllı Şebekeler","Akıllı Şebeke Optimizasyonu, Elektrik Araçlar için Şarj İstasyonları, Yük Yönetimi Sistemleri",elektrik elektronik mühendisliği güç sistemleri akıllı şebekeler,akıllı şebeke optimizasyonu elektrik araçlar şarj i stasyonları yük yönetimi sistemleri,elektrik elektronik mühendisliği güç sistemleri akıllı şebekeler akıllı şebeke optimizasyonu elektrik araçlar şarj i stasyonları yük yönetimi sistemleri
109,Prof. Dr. Ceren Uslu,"Moleküler Biyoloji, Genetik, Biyoinformatik","Kanser Genomik Araştırmaları, CRISPR-Cas9 Uygulamaları, DNA Dizileme ve Veri Analizi",moleküler biyoloji genetik biyoinformatik,kanser genomik araştırmaları crispr cas uygulamaları dna dizileme veri analizi,moleküler biyoloji genetik biyoinformatik kanser genomik araştırmaları crispr cas uygulamaları dna dizileme veri analizi
110,Dr. Ahmet Tekin,"Havacılık Mühendisliği, Aerodinamik, İtki Sistemleri","Düşük Yakıt Tüketimli Uçak Tasarımı, Hipersonik Hava Araçları, Aerodinamik Simülasyon Teknikleri",havacılık mühendisliği aerodinamik i tki sistemleri,düşük yakıt tüketimli uçak tasarımı hipersonik hava araçları aerodinamik simülasyon teknikleri,havacılık mühendisliği aerodinamik i tki sistemleri düşük yakıt tüketimli uçak tasarımı hipersonik hava araçları aerodinamik simülasyon teknikleri
111,Prof. Dr. Ayşe Özcan,"Tıp Bilimleri, Kardiyoloji, Elektrofizyoloji","Kalp Ritim Bozukluklarının Tedavisi, Kardiyovasküler Görüntüleme Teknikleri, Yapay Kalp Cihazları",tıp bilimleri kardiyoloji elektrofizyoloji,kalp ritim bozukluklarının tedavisi kardiyovasküler görüntüleme teknikleri yapay kalp cihazları,tıp bilimleri kardiyoloji elektrofizyoloji kalp ritim bozukluklarının tedavisi kardiyovasküler görüntüleme teknikleri yapay kalp cihazları
112,Doç. Dr. Oğuzhan Demir,"Yapay Zeka, Doğal Dil İşleme, Bilgi Çıkarımı","Türkçe Metinlerde Anlam Ayrıştırma, Chatbot Geliştirme, Makine Öğrenmesi ile Sentiment Analizi",yapay zeka doğal dil i şleme bilgi çıkarımı,türkçe metinlerde anlam ayrıştırma chatbot geliştirme makine öğrenmesi sentiment analizi,yapay zeka doğal dil i şleme bilgi çıkarımı türkçe metinlerde anlam ayrıştırma chatbot geliştirme makine öğrenmesi sentiment analizi
113,Dr. Nehir Polat,"Tarımsal Bilimler, Bitki Biyolojisi, Genetik Modifikasyon","Drought-Resistant Crops, Genetik Çeşitlilik Analizleri, Bitki Metabolizma Araştırmaları",tarımsal bilimler bitki biyolojisi genetik modifikasyon,drought resistant crops genetik çeşitlilik analizleri bitki metabolizma araştırmaları,tarımsal bilimler bitki biyolojisi genetik modifikasyon drought resistant crops genetik çeşitlilik analizleri bitki metabolizma araştırmaları
114,Prof. Dr. Burak Şahin,"Deniz Bilimleri, Oşinografi, İklim Modelleme","Deniz Ekosistemleri ve Karbon Döngüsü, Küresel Isınmanın Deniz Seviyesine Etkisi, Okyanus Modelleme Çalışmaları",deniz bilimleri oşinografi i klim modelleme,deniz ekosistemleri karbon döngüsü küresel isınmanın deniz seviyesine etkisi okyanus modelleme çalışmaları,deniz bilimleri oşinografi i klim modelleme deniz ekosistemleri karbon döngüsü küresel isınmanın deniz seviyesine etkisi okyanus modelleme çalışmaları
115,Dr. Gamze İnce,"Fizik, Kuantum Mekaniği, Parçacık Fiziği","Kuantum Hesaplama ve Algoritmalar, Higgs Bozonu Araştırmaları, Nükleer Reaktör Simülasyonları",fizik kuantum mekaniği parçacık fiziği,kuantum hesaplama algoritmalar higgs bozonu araştırmaları nükleer reaktör simülasyonları,fizik kuantum mekaniği parçacık fiziği kuantum hesaplama algoritmalar higgs bozonu araştırmaları nükleer reaktör simülasyonları
116,Prof. Dr. Leyla Karaca,"Tıp Bilimleri, Nöroloji, Sinir Sistemi Hastalıkları","Parkinson Hastalığı Araştırmaları, Beyin-Makine Arayüzleri, Epilepsi Tedavi Yöntemleri",tıp bilimleri nöroloji sinir sistemi hastalıkları,parkinson hastalığı araştırmaları beyin makine arayüzleri epilepsi tedavi yöntemleri,tıp bilimleri nöroloji sinir sistemi hastalıkları parkinson hastalığı araştırmaları beyin makine arayüzleri epilepsi tedavi yöntemleri
117,Doç. Dr. Murat Çelik,"Hematoloji, Onkoloji, Kanser Tedavileri","Kök Hücre Nakli Çalışmaları, Kan Kanseri Tedavi Yöntemleri, İmmünoterapiler",hematoloji onkoloji kanser tedavileri,kök hücre nakli çalışmaları kan kanseri tedavi yöntemleri i mmünoterapiler,hematoloji onkoloji kanser tedavileri kök hücre nakli çalışmaları kan kanseri tedavi yöntemleri i mmünoterapiler
118,Dr. Duygu Aksu,"Kadın Hastalıkları ve Doğum, Üreme Sağlığı, Jinekolojik Onkoloji","Tüp Bebek Teknolojileri, Serviks Kanseri Tedavileri, Gebelikte Risk Yönetimi",kadın hastalıkları doğum üreme sağlığı jinekolojik onkoloji,tüp bebek teknolojileri serviks kanseri tedavileri gebelikte risk yönetimi,kadın hastalıkları doğum üreme sağlığı jinekolojik onkoloji tüp bebek teknolojileri serviks kanseri tedavileri gebelikte risk yönetimi
119,Prof. Dr. Yusuf Erdem,"Kardiyovasküler Cerrahi, Kalp ve Damar Hastalıkları, Mekanik Dolaşım Destek Sistemleri","Bypass Ameliyatları, Yapay Kalp Kapakçıkları, Minimal İnvaziv Cerrahi Teknikler",kardiyovasküler cerrahi kalp damar hastalıkları mekanik dolaşım destek sistemleri,bypass ameliyatları yapay kalp kapakçıkları minimal i nvaziv cerrahi teknikler,kardiyovasküler cerrahi kalp damar hastalıkları mekanik dolaşım destek sistemleri bypass ameliyatları yapay kalp kapakçıkları minimal i nvaziv cerrahi teknikler
120,Doç. Dr. Aslı Yıldırım,"Pediatri, Yenidoğan Yoğun Bakım, Çocuk Nörolojisi","Prematüre Bebek Bakımı, Çocuklarda Epilepsi Yönetimi, Aşı ile Önlenebilir Hastalıklar",pediatri yenidoğan yoğun bakım çocuk nörolojisi,prematüre bebek bakımı çocuklarda epilepsi yönetimi aşı önlenebilir hastalıklar,pediatri yenidoğan yoğun bakım çocuk nörolojisi prematüre bebek bakımı çocuklarda epilepsi yönetimi aşı önlenebilir hastalıklar
121,Dr. Emre Toprak,"Göz Hastalıkları, Oftalmoloji, Retina Hastalıkları","Diyabetik Retinopati Tedavileri, Katarakt Cerrahisi, Görme Rehabilitasyonu",göz hastalıkları oftalmoloji retina hastalıkları,diyabetik retinopati tedavileri katarakt cerrahisi görme rehabilitasyonu,göz hastalıkları oftalmoloji retina hastalıkları diyabetik retinopati tedavileri katarakt cerrahisi görme rehabilitasyonu
122,Prof. Dr. Nazlı Şahin,"Dermatoloji, Cilt Kanserleri, Kozmetik Dermatoloji","Melanom Araştırmaları, Lazer Tedavi Teknolojileri, Cilt Gençleştirme Uygulamaları",dermatoloji cilt kanserleri kozmetik dermatoloji,melanom araştırmaları lazer tedavi teknolojileri cilt gençleştirme uygulamaları,dermatoloji cilt kanserleri kozmetik dermatoloji melanom araştırmaları lazer tedavi teknolojileri cilt gençleştirme uygulamaları
123,Doç. Dr. Ali Deniz,"Enfeksiyon Hastalıkları, Mikrobiyoloji, Bağışıklık Sistemi","COVID-19 Tedavi Protokolleri, Antiviral İlaç Geliştirme, Bağışıklık Baskılayıcıların Etkileri",enfeksiyon hastalıkları mikrobiyoloji bağışıklık sistemi,covid tedavi protokolleri antiviral i laç geliştirme bağışıklık baskılayıcıların etkileri,enfeksiyon hastalıkları mikrobiyoloji bağışıklık sistemi covid tedavi protokolleri antiviral i laç geliştirme bağışıklık baskılayıcıların etkileri
124,Dr. Yasemin Kaya,"Endokrinoloji, Diyabet, Metabolizma Hastalıkları","Tip 2 Diyabet Yönetimi, Tiroid Bezi Hastalıkları, Endokrin Tümör Araştırmaları",endokrinoloji diyabet metabolizma hastalıkları,tip diyabet yönetimi tiroid bezi hastalıkları endokrin tümör araştırmaları,endokrinoloji diyabet metabolizma hastalıkları tip diyabet yönetimi tiroid bezi hastalıkları endokrin tümör araştırmaları
125,Prof. Dr. Hasan Güneş,"Tıbbi Genetik, Genom Analizi, Kişiselleştirilmiş Tıp","Genetik Mutasyonların Hastalıklara Etkisi, Farmakogenetik Araştırmaları, Genom Düzenleme Teknikleri",tıbbi genetik genom analizi kişiselleştirilmiş tıp,genetik mutasyonların hastalıklara etkisi farmakogenetik araştırmaları genom düzenleme teknikleri,tıbbi genetik genom analizi kişiselleştirilmiş tıp genetik mutasyonların hastalıklara etkisi farmakogenetik araştırmaları genom düzenleme teknikleri
126,Doç. Dr. Serap Özdemir,"Psikiyatri, Biyolojik Psikiyatri, Ruh Sağlığı","Bipolar Bozukluk Tedavisi, Depresyon için Nöroterapiler, Ruh Sağlığı ve Genetik Araştırmaları",psikiyatri biyolojik psikiyatri ruh sağlığı,bipolar bozukluk tedavisi depresyon nöroterapiler ruh sağlığı genetik araştırmaları,psikiyatri biyolojik psikiyatri ruh sağlığı bipolar bozukluk tedavisi depresyon nöroterapiler ruh sağlığı genetik araştırmaları
127,Dr. Cem Çelik,"Kulak Burun Boğaz, Odyoloji, İşitme Kaybı","İşitme Cihazları ve İmplantlar, Baş-Boyun Kanserleri, Uyku Apnesi Tedavileri",kulak burun boğaz odyoloji i şitme kaybı,i şitme cihazları i mplantlar baş boyun kanserleri uyku apnesi tedavileri,kulak burun boğaz odyoloji i şitme kaybı i şitme cihazları i mplantlar baş boyun kanserleri uyku apnesi tedavileri
128,Prof. Dr. Zeki Ünal,"Radyoloji, Nükleer Tıp, Görüntüleme Teknolojileri","MRI ile Beyin Tümörü Görüntüleme, PET-CT Uygulamaları, Minimal İnvaziv Girişimler",radyoloji nükleer tıp görüntüleme teknolojileri,mri beyin tümörü görüntüleme pet ct uygulamaları minimal i nvaziv girişimler,radyoloji nükleer tıp görüntüleme teknolojileri mri beyin tümörü görüntüleme pet ct uygulamaları minimal i nvaziv girişimler
129,Doç. Dr. Gülçin Akar,"Fizyoterapi ve Rehabilitasyon, Kas ve İskelet Sistemi Hastalıkları","Ortopedik Rehabilitasyon Teknikleri, İnme Sonrası Fizik Tedavi, Spor Yaralanmalarının Yönetimi",fizyoterapi rehabilitasyon kas i skelet sistemi hastalıkları,ortopedik rehabilitasyon teknikleri i nme sonrası fizik tedavi spor yaralanmalarının yönetimi,fizyoterapi rehabilitasyon kas i skelet sistemi hastalıkları ortopedik rehabilitasyon teknikleri i nme sonrası fizik tedavi spor yaralanmalarının yönetimi
130,Dr. Ceyhun Bayrak,"Göğüs Hastalıkları, Pulmonoloji, Yoğun Bakım","Astım ve KOAH Tedavi Yöntemleri, Akciğer Kanseri Erken Tanı, Solunum Cihazları Teknolojisi",göğüs hastalıkları pulmonoloji yoğun bakım,astım koah tedavi yöntemleri akciğer kanseri erken tanı solunum cihazları teknolojisi,göğüs hastalıkları pulmonoloji yoğun bakım astım koah tedavi yöntemleri akciğer kanseri erken tanı solunum cihazları teknolojisi
131,Prof. Dr. Nevin Tekin,"Onkoloji, Moleküler Onkoloji, Kanser Genetiği","BRCA1 ve BRCA2 Gen Mutasyonları Üzerine Çalışmalar, Kanser İmmünoterapilerinde Yeni Hedefler, Kanser Kök Hücrelerinin Mekanizmaları",onkoloji moleküler onkoloji kanser genetiği,brca brca gen mutasyonları üzerine çalışmalar kanser i mmünoterapilerinde yeni hedefler kanser kök hücrelerinin mekanizmaları,onkoloji moleküler onkoloji kanser genetiği brca brca gen mutasyonları üzerine çalışmalar kanser i mmünoterapilerinde yeni hedefler kanser kök hücrelerinin mekanizmaları
132,Doç. Dr. Rıza Aksoy,"Ortopedi ve Travmatoloji, Spor Yaralanmaları, Kemik Rejenerasyonu","Kırık İyileşme Süreçleri ve Hücresel Tedaviler, Spor Yaralanmalarında Yenilikçi Cerrahi Teknikler, Protez ve İmplant Malzemelerinin Geliştirilmesi",ortopedi travmatoloji spor yaralanmaları kemik rejenerasyonu,kırık i yileşme süreçleri hücresel tedaviler spor yaralanmalarında yenilikçi cerrahi teknikler protez i mplant malzemelerinin geliştirilmesi,ortopedi travmatoloji spor yaralanmaları kemik rejenerasyonu kırık i yileşme süreçleri hücresel tedaviler spor yaralanmalarında yenilikçi cerrahi teknikler protez i mplant malzemelerinin geliştirilmesi
133,Dr. Selin Öztürk,"Nöroşirurji, Beyin ve Omurilik Yaralanmaları, Sinir Cerrahisi","Omurga Stabilizasyon Teknikleri, Beyin Tümörü Cerrahisinde Robotik Yaklaşımlar, Nörostimülasyon Cihazlarının Kullanımı",nöroşirurji beyin omurilik yaralanmaları sinir cerrahisi,omurga stabilizasyon teknikleri beyin tümörü cerrahisinde robotik yaklaşımlar nörostimülasyon cihazlarının kullanımı,nöroşirurji beyin omurilik yaralanmaları sinir cerrahisi omurga stabilizasyon teknikleri beyin tümörü cerrahisinde robotik yaklaşımlar nörostimülasyon cihazlarının kullanımı
134,Prof. Dr. Erkan Demir,"Kardiyoloji, Elektrofizyoloji, Kalp Ritmi Bozuklukları","Atrial Fibrilasyon Tedavisinde Ablasyon Teknikleri, Kalıcı Kalp Pilleri ve Yeni Nesil Teknolojiler, Kardiyak MRI ve Radyolojik Görüntüleme",kardiyoloji elektrofizyoloji kalp ritmi bozuklukları,atrial fibrilasyon tedavisinde ablasyon teknikleri kalıcı kalp pilleri yeni nesil teknolojiler kardiyak mri radyolojik görüntüleme,kardiyoloji elektrofizyoloji kalp ritmi bozuklukları atrial fibrilasyon tedavisinde ablasyon teknikleri kalıcı kalp pilleri yeni nesil teknolojiler kardiyak mri radyolojik görüntüleme
135,Doç. Dr. Melike Çelik,"Gastroenteroloji, Karaciğer Hastalıkları, Endoskopik Tedaviler","Hepatit B ve C Tedavisinde Yeni Protokoller, Karaciğer Naklinde İmmünsüpresyon Yaklaşımları, Endoskopik Ultrasonografi ile Tanı ve Tedavi",gastroenteroloji karaciğer hastalıkları endoskopik tedaviler,hepatit b c tedavisinde yeni protokoller karaciğer naklinde i mmünsüpresyon yaklaşımları endoskopik ultrasonografi tanı tedavi,gastroenteroloji karaciğer hastalıkları endoskopik tedaviler hepatit b c tedavisinde yeni protokoller karaciğer naklinde i mmünsüpresyon yaklaşımları endoskopik ultrasonografi tanı tedavi
136,Dr. Ahmet Korkmaz,"Plastik, Rekonstrüktif ve Estetik Cerrahi, Yanık Tedavisi, Mikrocerrahi","Deri Greftleme Tekniklerinde İnovasyon, Estetik Cerrahide Kişiselleştirilmiş Planlama, El Cerrahisinde Sinir Onarımı",plastik rekonstrüktif estetik cerrahi yanık tedavisi mikrocerrahi,deri greftleme tekniklerinde i novasyon estetik cerrahide kişiselleştirilmiş planlama el cerrahisinde sinir onarımı,plastik rekonstrüktif estetik cerrahi yanık tedavisi mikrocerrahi deri greftleme tekniklerinde i novasyon estetik cerrahide kişiselleştirilmiş planlama el cerrahisinde sinir onarımı
137,Prof. Dr. Hande Çınar,"Nefroloji, Böbrek Hastalıkları, Diyaliz Teknikleri","Kronik Böbrek Yetmezliği Tedavisinde İnovatif Yaklaşımlar, Hemodiyaliz Makinalarında Yapay Zeka Kullanımı, Böbrek Nakli Sürecinde Genetik Uyum Araştırmaları",nefroloji böbrek hastalıkları diyaliz teknikleri,kronik böbrek yetmezliği tedavisinde i novatif yaklaşımlar hemodiyaliz makinalarında yapay zeka kullanımı böbrek nakli sürecinde genetik uyum araştırmaları,nefroloji böbrek hastalıkları diyaliz teknikleri kronik böbrek yetmezliği tedavisinde i novatif yaklaşımlar hemodiyaliz makinalarında yapay zeka kullanımı böbrek nakli sürecinde genetik uyum araştırmaları
138,Doç. Dr. Fırat Yılmaz,"Tıbbi Biyoteknoloji, Hücre ve Gen Tedavisi, Biyomalzeme Geliştirme","Kök Hücre Tabanlı Tedavilerde Yeni Yaklaşımlar, Gen Düzenleme Teknolojilerinin Tıbbi Uygulamaları, Biyomalzemelerin İlaç Taşıyıcı Sistemlerde Kullanımı",tıbbi biyoteknoloji hücre gen tedavisi biyomalzeme geliştirme,kök hücre tabanlı tedavilerde yeni yaklaşımlar gen düzenleme teknolojilerinin tıbbi uygulamaları biyomalzemelerin i laç taşıyıcı sistemlerde kullanımı,tıbbi biyoteknoloji hücre gen tedavisi biyomalzeme geliştirme kök hücre tabanlı tedavilerde yeni yaklaşımlar gen düzenleme teknolojilerinin tıbbi uygulamaları biyomalzemelerin i laç taşıyıcı sistemlerde kullanımı
139,Dr. Pelin Gök,"Psikiyatri, Çocuk ve Ergen Ruh Sağlığı, Bilişsel Davranış Terapisi","Otizm Spektrum Bozukluğu Tedavi Yöntemleri, Travma Sonrası Stres Bozukluğu için Psikoterapiler, Ergenlerde Depresyonun Nörolojik Temelleri",psikiyatri çocuk ergen ruh sağlığı bilişsel davranış terapisi,otizm spektrum bozukluğu tedavi yöntemleri travma sonrası stres bozukluğu psikoterapiler ergenlerde depresyonun nörolojik temelleri,psikiyatri çocuk ergen ruh sağlığı bilişsel davranış terapisi otizm spektrum bozukluğu tedavi yöntemleri travma sonrası stres bozukluğu psikoterapiler ergenlerde depresyonun nörolojik temelleri
